Temperature,pH,Yeast_Concentration,Sugar_Concentration,Ethanol_Yield,Residual_Sugar,Vinasse_Volume
28.5,4.1,2.6,18.1,74.3,5.6,31.6
30.8,5.5,2.5,18.6,73.3,5.8,31.7
25.8,4.6,2.4,20.0,65.6,7.2,34.7
34.7,5.3,3.2,12.4,58.2,6.1,42.5
34.9,5.2,1.6,10.4,50.1,5.4,50.0
32.0,4.9,3.2,14.1,74.7,4.1,28.2
30.4,5.1,3.2,11.3,73.1,3.2,26.4
28.1,5.3,4.0,10.2,66.0,3.8,36.8
33.1,4.6,4.3,13.6,71.7,4.7,32.4
31.8,4.5,2.8,17.8,78.3,3.8,27.7
26.6,5.0,2.2,15.7,67.5,6.6,37.4
34.1,5.2,2.0,13.1,55.5,5.6,46.9
33.2,5.1,1.8,16.5,64.1,6.3,39.3
34.5,5.2,1.2,12.3,50.0,7.0,50.0
32.3,4.7,2.4,10.1,58.7,5.0,40.0
31.1,5.2,2.1,17.6,74.0,5.1,31.8
29.2,4.2,4.9,16.2,78.0,3.9,28.8
34.3,4.8,3.2,17.6,71.0,5.9,30.8
33.7,4.0,2.4,10.4,50.0,5.7,47.0
25.5,4.5,3.3,18.4,74.2,6.0,29.1
25.3,4.5,1.6,16.2,59.3,7.7,41.2
28.8,4.6,2.8,15.6,80.9,3.8,26.8
33.1,5.0,3.5,16.2,72.5,4.5,30.7
34.9,4.6,3.0,18.6,66.6,6.9,35.0
26.5,4.7,2.6,15.9,65.2,6.0,36.6
30.9,4.4,5.0,15.8,77.1,3.5,30.6
28.8,4.6,4.5,19.9,81.1,4.4,25.2
34.7,4.3,3.5,17.6,71.6,5.3,32.4
33.4,4.1,3.3,14.4,64.1,6.1,38.5
33.4,4.9,3.5,17.1,78.8,3.5,29.6
29.7,5.0,1.8,13.9,70.9,5.3,31.8
29.1,4.9,2.6,12.3,74.0,3.1,33.4
27.7,4.7,1.2,16.0,60.7,7.1,41.9
25.6,4.6,2.9,19.3,69.2,7.0,34.3
33.6,5.3,3.2,19.3,72.1,5.7,37.4
33.1,4.8,1.9,13.4,58.5,6.6,41.1
35.0,4.7,4.9,15.3,65.7,5.2,36.8
35.0,4.0,4.6,12.1,54.9,6.8,43.6
30.6,4.5,3.9,20.0,87.6,2.7,21.8
32.7,4.6,3.1,19.8,72.8,5.7,35.2
34.4,4.6,4.5,16.5,68.5,5.6,38.5
33.5,4.9,1.5,18.0,69.7,6.5,36.7
27.5,4.8,4.2,17.2,84.0,2.7,22.4
29.5,4.9,1.5,15.9,73.9,4.2,30.1
26.3,5.1,4.2,10.5,58.6,4.7,39.8
34.5,5.2,2.1,14.5,54.8,6.7,50.0
31.1,5.1,4.5,16.7,87.2,3.3,21.2
27.3,5.4,4.8,16.8,70.4,5.2,32.7
31.7,4.0,1.6,13.7,58.6,6.7,45.8
31.2,4.3,2.9,19.4,77.7,4.9,25.9
28.6,4.0,4.9,11.7,64.4,4.1,39.3
26.1,5.0,2.9,15.0,65.7,5.7,37.1
31.7,5.3,4.5,16.9,81.3,3.9,26.2
30.2,4.4,3.4,17.0,88.4,2.1,19.1
32.7,5.4,2.5,16.5,69.8,6.1,31.3
30.2,4.1,2.1,12.8,64.0,5.6,38.9
33.5,5.4,1.8,11.6,51.0,6.8,50.0
30.5,4.5,4.0,16.4,92.1,1.2,16.2
30.6,4.2,2.5,16.0,77.1,3.5,29.9
33.8,4.7,3.0,11.8,57.8,5.2,41.6
29.0,4.4,3.0,17.1,82.0,3.5,24.3
26.3,4.4,3.3,14.6,62.7,6.3,38.6
25.3,4.5,4.5,16.7,68.4,4.8,36.8
32.6,5.2,4.9,18.4,80.5,4.0,25.7
31.2,4.8,2.6,11.7,65.9,4.5,38.7
32.0,4.5,4.3,10.2,63.2,4.0,41.7
27.1,4.9,4.1,17.8,85.3,3.6,23.2
26.4,5.1,3.3,16.1,67.7,6.0,36.4
25.1,4.4,4.8,17.0,64.7,7.3,36.3
28.5,4.6,1.8,18.4,75.2,5.0,29.8
30.9,4.2,1.4,18.0,69.9,6.5,33.0
28.9,4.3,4.4,19.6,82.0,4.7,23.7
29.4,5.0,2.8,15.4,80.0,4.1,25.2
34.0,4.3,4.4,14.9,67.2,4.9,34.3
28.5,4.8,4.6,14.0,78.1,3.3,23.6
30.1,5.1,1.2,11.5,60.1,4.9,40.6
32.8,4.2,4.5,15.7,72.4,5.1,32.5
29.0,4.9,2.8,12.8,71.6,4.4,30.0
31.2,4.4,3.0,19.2,81.0,3.6,25.2
33.6,5.4,3.5,15.8,67.8,5.7,39.6
34.5,4.7,4.7,15.9,67.7,4.7,37.9
26.5,5.2,1.1,13.5,50.5,8.2,50.0
34.3,4.8,2.9,10.5,55.5,4.9,46.4
29.9,4.1,3.8,10.3,68.0,3.7,38.0
27.6,4.9,3.9,14.2,73.9,4.0,29.4
29.6,5.4,3.8,10.8,71.3,4.0,31.7
34.8,4.9,1.5,16.1,57.3,6.2,38.7
29.9,5.2,2.2,18.8,81.2,3.9,27.4
28.3,5.3,2.4,18.8,73.0,5.6,34.7
31.3,4.3,4.2,16.6,84.6,2.6,21.2
27.4,4.3,2.1,12.1,59.0,6.4,42.3
25.8,4.9,1.8,18.6,64.1,7.0,37.2
26.3,4.6,4.8,18.9,71.1,6.5,33.9
26.3,5.3,1.0,12.0,50.3,6.8,50.0
26.5,5.4,5.0,17.4,71.2,6.2,29.5
26.4,4.5,3.7,12.9,65.9,4.5,38.1
31.4,4.4,4.3,18.0,82.4,3.2,23.6
26.8,5.2,2.2,20.0,65.4,8.2,37.9
28.5,4.4,1.1,10.3,56.6,5.2,45.7
34.0,5.2,4.0,19.0,73.4,4.8,30.9
29.7,4.6,4.3,16.2,88.0,1.9,19.4
31.7,5.0,4.0,19.7,85.6,3.4,21.1
26.7,4.1,1.6,14.7,57.2,7.4,46.1
26.9,4.9,4.0,18.5,84.6,2.8,23.2
25.4,4.7,4.1,10.6,56.4,3.7,45.3
26.7,4.9,3.6,13.4,70.6,4.6,31.0
27.8,4.3,4.1,10.7,66.4,3.4,36.1
26.8,5.1,4.4,19.8,74.4,4.6,32.3
25.9,5.3,3.5,18.2,72.5,4.1,32.1
26.2,4.3,1.4,18.5,61.9,8.2,41.8
29.6,4.1,3.0,19.4,82.2,3.9,27.8
27.1,4.0,1.3,10.9,50.0,5.9,50.0
28.6,5.0,2.6,13.9,73.1,4.8,31.7
30.0,4.9,2.6,10.7,68.5,4.1,34.1
31.9,4.8,1.3,12.1,58.2,6.4,38.3
25.4,4.3,2.4,12.3,53.2,5.7,47.1
33.0,4.6,1.4,14.7,59.3,6.6,41.9
31.3,4.9,4.2,12.7,78.9,2.2,27.7
25.8,4.7,4.8,11.0,58.1,5.0,43.2
33.7,5.5,1.3,11.7,50.0,6.4,49.4
34.2,4.2,4.8,11.5,55.0,6.0,42.4
25.6,5.0,3.1,19.7,67.3,7.2,34.3
27.8,4.6,2.2,17.6,76.1,5.0,30.1
33.1,4.6,1.3,19.7,63.3,8.4,42.8
32.5,5.1,3.0,14.4,68.2,6.2,35.2
26.8,5.0,4.2,12.8,73.3,3.6,32.0
27.1,5.5,3.8,18.0,79.0,3.7,28.7
28.7,4.2,1.2,13.3,61.0,5.9,39.6
29.8,4.2,1.3,13.0,61.5,5.2,41.5
31.2,5.1,2.6,12.3,68.5,5.1,33.7
28.7,4.9,2.2,11.3,65.0,4.2,39.7
29.6,4.4,1.9,12.6,68.3,4.1,35.7
32.5,4.1,2.1,13.6,62.3,5.4,40.8
25.4,4.1,4.2,16.7,69.5,6.0,32.8
27.5,5.3,4.7,10.6,60.2,4.6,43.2
32.1,4.3,2.6,12.1,60.9,4.9,45.4
34.0,4.5,4.6,18.1,74.3,6.0,28.5
30.1,4.3,2.3,11.5,67.7,3.7,35.2
30.3,4.5,2.9,13.4,74.9,3.8,30.5
26.1,4.1,1.9,18.6,63.2,8.0,41.0
29.5,4.8,3.6,11.5,78.5,1.9,26.1
30.3,4.1,4.9,10.8,64.7,4.5,32.6
27.4,5.2,3.4,14.8,70.5,4.3,36.3
27.7,4.4,2.4,13.0,62.6,5.8,41.5
28.8,4.8,3.6,15.6,84.9,2.1,18.6
25.2,5.3,1.5,18.0,56.5,9.1,43.6
28.2,5.0,4.6,11.4,71.2,4.2,36.2
27.1,4.8,3.0,15.8,74.5,4.9,33.3
28.3,4.5,2.8,15.1,73.0,4.6,33.5
26.2,4.5,3.3,11.4,56.9,5.4,44.1
33.9,5.0,3.5,16.2,69.0,5.3,34.9
30.9,5.5,1.3,12.7,59.1,6.5,42.5
31.8,5.0,3.7,14.9,74.9,3.8,32.3
32.9,4.8,2.0,10.8,58.0,4.5,41.8
30.0,5.1,3.9,14.6,85.7,2.6,19.8
25.9,4.7,4.3,13.1,71.8,3.7,34.5
30.4,4.1,4.2,18.2,93.6,0.8,15.0
30.9,4.8,3.2,10.6,69.0,2.9,37.6
32.5,5.4,3.1,14.2,67.2,4.9,34.9
29.3,4.3,1.6,14.6,68.1,5.1,35.4
26.3,5.0,4.1,17.3,80.5,3.9,23.8
27.8,4.3,2.1,15.7,63.6,6.8,39.1
28.6,4.8,3.0,16.7,78.6,4.2,24.2
31.5,4.1,2.1,17.8,72.0,5.4,31.4
30.7,4.7,1.5,18.6,76.2,4.8,26.2
28.6,5.1,3.5,13.1,74.7,4.0,31.7
34.9,4.5,1.2,15.4,54.8,8.4,47.6
31.1,5.0,4.0,18.4,89.3,2.3,15.1
27.4,5.2,2.3,19.9,63.2,7.9,42.1
26.0,5.4,1.0,18.9,57.5,8.4,49.0
26.5,4.4,3.0,13.7,61.9,5.1,40.6
27.5,4.6,1.2,12.0,50.2,6.9,48.5
26.6,4.2,2.1,14.9,60.5,6.8,47.2
26.9,5.5,3.8,17.4,77.7,4.6,25.2
27.9,5.4,1.3,14.9,59.2,6.7,42.7
26.7,4.8,4.4,14.8,72.6,5.2,32.3
34.0,5.3,1.0,18.4,57.2,8.5,46.9
25.8,4.8,2.0,13.6,56.7,7.0,45.3
30.2,4.9,4.0,18.6,92.7,1.5,14.8
29.1,4.1,2.3,14.1,66.3,5.0,35.1
34.8,5.1,1.4,13.3,51.0,7.5,48.5
26.1,4.2,2.4,14.5,60.0,6.7,40.0
29.0,5.2,2.1,17.6,76.3,4.8,29.1
34.7,5.2,4.4,11.3,55.0,5.7,44.8
33.7,5.1,2.3,12.0,55.7,5.9,42.5
33.2,4.1,4.2,19.5,69.1,7.9,37.3
27.6,4.5,4.6,11.8,66.2,5.0,36.1
26.7,4.4,2.7,15.7,69.9,5.6,31.6
31.7,4.5,4.6,15.8,76.1,4.3,28.8
34.3,4.1,2.5,14.9,57.4,7.6,44.2
30.6,5.4,4.9,16.4,81.7,3.6,21.1
30.7,4.8,1.4,12.3,65.3,4.7,38.4
27.8,4.5,3.7,15.5,77.1,3.8,26.2
32.7,4.6,3.0,13.7,66.4,5.1,40.3
26.9,4.7,2.6,16.6,66.6,4.6,37.8
28.2,4.9,3.5,11.4,69.9,3.9,33.3
29.3,4.8,3.8,15.7,92.2,1.1,14.8
30.1,5.4,1.0,11.9,58.8,6.2,42.7
27.4,4.7,1.7,12.8,59.4,5.8,43.7
26.1,5.5,3.9,12.2,62.0,4.6,40.4
31.1,5.3,3.7,11.8,71.3,3.7,32.5
27.9,4.3,4.9,18.3,77.0,4.2,28.6
30.8,5.4,4.0,12.9,77.7,3.4,26.6
26.5,4.2,4.8,19.3,70.2,6.5,33.1
29.8,5.2,3.8,19.7,88.7,3.0,14.9
30.3,4.6,2.2,15.7,74.6,4.0,32.2
25.5,5.3,1.4,11.4,52.6,6.0,48.5
28.4,5.3,4.1,13.7,76.6,2.9,27.1
26.3,5.2,3.6,18.0,74.6,5.4,34.1
25.6,5.2,1.2,13.7,52.7,7.4,48.0
34.9,4.5,2.4,10.9,50.0,6.3,47.9
28.2,4.1,4.8,15.6,72.0,4.9,34.1
33.1,4.6,3.0,18.5,73.7,5.6,31.8
27.5,4.3,2.7,18.0,70.9,6.6,34.0
31.8,5.0,2.8,11.8,66.3,4.3,36.1
32.6,4.5,1.8,16.7,63.6,6.8,40.0
31.0,5.5,2.5,12.2,62.0,4.6,39.9
29.7,5.0,2.5,12.2,66.2,4.1,38.2
29.1,5.2,1.2,18.7,69.3,6.4,30.8
28.5,4.2,4.1,12.5,71.8,4.5,31.7
34.3,5.3,2.7,12.6,55.3,6.1,49.2
33.3,5.4,4.3,10.0,56.3,4.7,43.4
34.7,4.7,4.4,18.7,69.9,6.1,32.9
26.2,4.9,1.8,17.9,67.3,6.3,35.3
32.3,5.1,3.6,16.3,77.5,4.2,25.6
34.4,4.3,2.9,17.5,66.9,5.7,32.0
26.8,4.8,4.5,11.5,62.8,5.4,39.3
25.7,4.6,1.9,14.6,57.5,6.6,44.3
32.4,4.2,3.7,13.5,72.6,4.5,31.8
30.7,4.6,3.4,10.9,71.8,2.8,32.3
33.4,4.1,2.2,14.9,58.9,7.1,43.0
26.4,4.0,1.5,19.2,59.2,9.0,44.7
33.0,4.2,3.6,10.4,59.4,4.9,42.1
27.0,5.4,4.0,12.9,67.2,4.2,35.1
26.6,4.8,2.3,12.1,58.1,5.7,43.0
26.6,5.4,3.6,12.4,62.2,4.6,41.4
33.1,4.6,2.6,19.1,71.6,5.9,35.5
31.7,4.5,3.9,14.7,76.9,4.3,27.2
30.2,4.8,1.8,14.7,70.9,5.1,33.4
28.6,4.7,4.6,17.6,83.7,3.2,23.7
33.8,4.2,2.1,11.5,50.0,5.9,48.0
28.9,5.0,2.5,14.9,71.6,5.0,32.8
33.2,4.3,1.2,14.3,55.8,7.0,42.4
29.4,4.9,1.4,16.0,69.7,4.2,30.7
28.8,5.0,3.1,20.0,81.2,4.6,25.8
29.6,4.2,2.1,17.7,77.6,4.4,27.2
28.0,4.1,4.3,14.0,67.6,5.6,36.3
32.5,5.2,1.1,18.3,65.3,6.5,37.7
30.0,4.7,2.5,11.7,72.2,2.0,30.3
27.3,4.1,2.3,10.3,51.7,5.7,48.5
34.0,5.5,1.1,12.0,50.8,6.7,46.9
28.8,4.1,1.5,13.4,58.6,5.3,45.9
30.4,5.0,2.7,15.1,78.0,3.2,24.9
34.1,5.5,3.0,16.2,61.9,8.2,40.1
31.2,4.4,2.6,19.1,73.5,5.5,29.1
26.2,4.2,3.1,15.1,63.8,6.4,40.1
34.4,4.2,3.4,15.0,63.1,5.8,38.9
31.3,4.5,1.0,10.5,52.7,4.5,46.8
28.3,4.2,2.9,10.3,57.7,4.8,45.6
26.4,5.0,4.9,15.5,68.2,5.4,35.5
32.9,4.1,3.1,14.4,66.0,5.2,38.2
31.2,4.8,3.7,18.4,90.3,1.9,15.8
30.3,5.5,2.2,11.6,63.9,4.8,36.0
33.9,5.2,4.1,10.2,57.2,4.8,44.4
32.9,4.9,4.1,14.5,77.4,3.0,27.4
26.5,4.5,3.1,12.4,59.1,5.9,44.0
28.1,4.9,4.9,10.5,65.2,3.1,37.7
27.5,4.8,1.5,17.2,70.7,4.6,33.9
32.4,4.6,1.1,11.1,53.4,6.1,44.0
25.3,4.2,4.1,16.1,67.1,6.1,40.1
30.7,5.3,4.2,12.8,74.7,3.6,29.9
32.6,4.7,1.5,11.7,57.7,4.8,45.2
33.8,4.3,2.1,13.8,54.0,6.7,45.1
28.4,4.6,1.1,18.0,66.8,6.5,37.2
33.2,4.6,2.2,13.9,61.0,5.2,38.6
26.1,5.2,4.1,17.5,77.8,4.0,28.7
33.5,5.1,3.1,11.3,60.0,5.3,41.3
26.3,5.2,2.4,17.7,65.9,7.4,37.3
29.0,4.0,2.5,12.4,63.2,4.8,40.8
33.0,4.6,1.0,16.8,60.0,7.8,39.5
26.5,4.7,2.2,15.7,63.7,5.4,37.7
27.3,4.0,3.6,19.3,76.1,5.4,30.0
32.2,4.4,4.9,13.9,66.6,4.7,40.9
32.2,5.1,4.4,10.7,68.2,3.9,35.2
31.4,4.2,1.1,10.2,53.0,5.2,48.8
31.9,4.8,4.6,18.3,87.5,3.2,19.8
30.4,4.3,4.1,15.2,83.7,2.3,27.0
27.5,4.0,4.1,17.8,79.1,4.4,23.3
28.5,4.4,2.8,12.3,63.6,4.9,39.3
26.8,5.5,2.6,13.5,59.1,6.0,39.5
34.1,5.2,2.2,10.3,51.3,5.5,43.9
30.8,5.4,1.3,19.6,69.3,6.3,35.2
29.0,4.7,1.9,16.7,73.3,4.9,31.6
29.6,4.2,2.0,19.3,73.3,5.7,30.8
34.5,4.8,2.9,12.7,59.2,5.9,42.4
26.5,4.7,4.0,16.1,74.2,4.7,36.8
30.9,5.3,2.9,16.8,81.3,3.9,24.4
30.1,4.1,1.2,13.2,60.6,6.2,42.5
31.1,4.7,4.8,18.5,85.9,2.4,20.0
25.2,4.2,4.8,19.5,63.3,8.4,40.0
33.7,4.5,4.1,18.8,74.4,4.8,30.0
34.3,5.1,5.0,17.4,68.8,6.3,34.1
30.7,4.7,3.2,12.8,75.1,3.8,33.5
32.0,4.6,4.9,12.8,68.5,3.5,37.5
34.2,4.6,1.3,19.6,56.1,9.6,45.4
32.1,4.7,2.5,10.1,60.0,4.3,37.4
26.5,5.2,1.9,17.2,67.8,5.8,35.0
30.8,5.3,1.8,17.1,73.0,5.8,37.0
31.1,5.4,1.6,16.2,69.6,5.2,33.9
29.2,5.2,3.5,19.9,80.9,3.8,27.5
32.4,4.5,4.1,13.1,72.4,4.1,35.0
34.3,5.0,3.3,13.4,60.1,6.3,42.4
34.3,4.7,1.6,10.8,50.0,5.9,48.3
29.5,4.4,4.2,14.4,80.3,3.7,20.9
26.1,5.3,3.5,12.6,64.5,5.2,39.7
34.8,4.1,2.6,13.4,55.4,5.6,44.0
33.4,5.4,3.7,18.3,76.3,4.6,29.4
26.2,4.7,2.0,19.4,61.9,7.9,38.0
34.2,5.0,2.4,11.9,54.8,6.2,45.6
33.7,5.0,4.7,13.7,66.6,3.8,36.8
30.2,5.3,2.2,19.3,77.2,6.2,28.8
30.9,5.0,2.9,10.6,62.9,4.6,37.4
29.0,4.9,4.6,10.9,68.8,3.9,37.4
25.5,4.1,3.8,11.6,57.6,6.1,42.8
28.4,4.8,1.2,16.0,68.1,6.8,32.2
33.0,4.2,1.6,11.5,50.0,6.8,49.8
25.0,5.1,1.0,19.7,52.5,10.9,48.1
28.3,4.8,3.5,14.5,78.9,3.5,27.2
29.0,5.0,2.8,15.0,78.0,3.6,30.3
30.4,4.1,1.5,12.5,62.3,5.0,39.7
34.2,4.1,4.8,14.7,63.2,5.6,39.2
28.5,5.1,3.1,16.6,78.4,3.6,25.1
28.5,4.1,2.0,17.5,67.1,5.7,38.0
32.4,4.1,3.0,17.5,73.6,5.1,31.5
29.5,4.0,3.7,15.8,84.1,1.9,21.9
27.2,5.4,1.3,19.0,64.1,7.7,34.9
29.5,5.1,2.1,18.2,81.2,3.8,27.9
26.4,4.5,4.2,17.6,78.2,4.3,25.0
26.8,4.4,2.8,10.6,57.7,4.7,42.6
30.0,4.5,3.2,10.1,68.1,5.1,36.2
29.2,5.2,2.7,12.1,68.2,5.0,33.1
34.1,5.0,1.2,16.6,61.0,6.6,38.2
28.6,4.3,1.7,14.1,61.5,6.2,36.6
30.8,4.3,2.8,14.0,75.4,3.5,31.1
31.3,4.1,1.8,18.8,69.7,5.8,33.1
25.1,5.0,1.2,19.0,58.6,8.1,49.0
31.6,5.1,4.4,19.1,80.4,4.4,23.7
26.8,4.4,4.9,13.1,64.9,4.8,36.3
34.6,4.0,4.2,16.9,66.3,6.8,35.8
26.5,4.1,4.4,12.7,59.7,6.2,42.7
29.1,5.5,2.0,11.9,61.7,5.8,39.7
25.9,4.4,4.8,11.8,60.1,4.8,43.1
35.0,5.2,1.8,13.4,50.0,7.7,48.0
30.0,4.9,4.8,14.3,78.9,3.7,24.1
31.0,4.6,5.0,18.3,84.8,2.9,18.6
25.7,4.3,3.8,11.2,58.4,4.8,38.8
32.5,4.2,4.9,17.3,75.6,5.5,28.5
27.1,4.9,3.3,15.3,75.1,4.4,29.4
34.0,5.2,2.0,12.9,55.0,6.8,44.8
27.1,5.0,2.7,14.9,72.2,4.2,34.7
26.9,4.8,3.4,13.0,68.7,3.9,37.5
25.4,4.1,1.3,16.0,51.6,8.3,48.0
29.7,5.5,3.5,14.3,75.5,3.8,26.0
30.6,5.2,4.9,11.6,69.1,3.5,33.6
25.7,4.4,1.8,11.2,50.0,6.2,48.8
32.8,5.5,4.2,15.5,75.2,3.4,28.5
29.5,4.9,4.6,19.0,89.9,1.6,16.7
30.2,4.9,4.8,13.4,77.0,3.8,27.1
29.4,5.1,4.8,17.3,86.2,3.0,20.3
29.0,5.2,3.1,16.6,82.2,3.1,23.0
30.6,5.0,4.9,19.3,87.9,2.1,20.1
26.6,4.2,4.0,18.2,78.8,3.8,27.7
26.8,4.5,1.6,15.7,63.1,6.2,37.7
33.6,5.4,2.9,16.6,67.4,6.3,38.6
34.5,4.3,3.9,19.0,72.0,6.4,30.5
28.7,4.6,2.0,14.0,70.0,4.4,30.8
27.7,4.6,3.6,13.3,69.5,3.9,35.1
31.4,4.7,3.7,10.1,67.3,3.8,34.6
29.1,4.9,1.7,18.3,74.4,4.8,31.1
25.3,5.4,3.3,18.0,68.1,6.1,30.7
26.6,4.4,4.1,11.0,64.7,5.0,41.0
32.2,4.2,3.0,15.8,70.6,5.6,34.8
31.6,4.3,1.0,14.6,55.3,7.4,42.8
25.3,5.3,1.0,11.2,50.0,5.6,47.0
27.2,5.0,2.4,19.8,71.8,6.3,35.9
27.3,4.4,4.7,12.1,65.9,5.1,35.8
31.7,5.2,1.9,10.7,57.8,4.8,42.1
25.2,5.3,3.5,15.9,64.7,6.9,33.7
26.0,5.3,1.9,17.4,59.8,8.4,41.5
33.0,5.4,2.3,10.3,54.2,6.1,46.2
26.8,4.4,4.4,16.6,72.9,5.1,33.1
31.5,5.1,3.9,15.3,85.9,2.7,18.5
27.4,4.7,1.4,11.0,54.9,6.2,43.0
26.0,5.3,2.7,11.7,54.4,6.2,47.4
27.4,5.1,1.1,15.7,59.3,6.8,44.5
32.2,5.2,2.9,13.0,66.3,4.6,33.9
33.6,5.0,3.6,19.4,74.7,5.6,32.4
33.3,4.3,1.5,18.2,64.9,6.4,38.1
29.0,4.8,2.2,19.8,76.6,5.1,30.9
31.7,5.5,2.6,12.6,62.0,5.9,40.2
27.0,5.4,4.7,19.7,75.7,4.2,24.4
27.9,4.1,5.0,14.3,68.2,5.8,35.1
34.0,4.2,1.2,13.5,52.2,7.7,50.0
25.1,4.2,4.0,10.5,53.7,5.2,45.3
25.9,5.1,2.5,10.5,53.2,5.7,46.6
27.1,5.2,2.6,16.9,70.7,5.5,33.1
25.3,4.3,4.0,14.6,61.3,6.9,35.1
26.8,4.8,4.7,12.3,69.6,4.6,37.7
30.8,5.3,4.8,16.1,83.4,2.3,21.5
29.2,5.1,3.3,12.5,72.8,4.1,32.8
33.9,4.8,2.4,15.8,63.3,6.3,39.2
33.2,4.9,4.2,13.6,72.2,4.2,34.8
28.4,4.8,2.0,18.2,76.7,4.4,29.4
27.6,4.4,3.3,18.2,80.0,4.9,25.5
28.8,4.8,2.4,14.8,74.3,4.7,28.8
30.9,5.0,3.6,13.5,79.3,2.7,28.2
27.7,5.3,2.0,13.6,63.9,4.8,35.1
31.2,5.0,1.8,18.1,76.8,4.5,29.8
29.1,5.1,4.7,13.3,72.8,4.2,29.6
30.5,4.2,1.4,12.1,62.7,5.1,42.4
29.4,4.7,3.0,10.8,72.6,3.9,32.2
27.9,4.0,1.9,14.7,68.1,5.6,36.8
34.5,4.4,1.2,14.8,50.0,8.7,50.0
32.6,5.1,1.1,18.4,64.7,7.4,34.7
26.4,5.5,1.7,12.2,50.0,6.1,48.3
33.7,4.1,4.5,13.8,65.3,5.2,39.1
29.9,4.6,2.1,18.1,81.5,4.2,25.1
33.9,5.2,4.8,18.2,75.5,4.9,32.0
33.0,4.3,3.3,13.8,65.4,5.6,38.5
29.3,4.8,2.7,14.6,74.1,4.0,28.8
25.2,5.1,3.3,13.0,58.5,5.5,41.6
27.7,4.9,3.1,19.3,73.7,5.6,31.3
30.4,4.3,4.0,11.2,75.2,3.2,25.2
31.3,4.5,2.1,19.3,70.0,6.1,37.3
27.6,5.2,2.4,16.8,71.3,5.2,33.8
26.4,4.8,4.6,15.3,67.5,5.1,38.4
33.3,4.0,4.8,10.3,54.7,5.8,43.1
34.8,5.1,4.6,14.8,66.3,5.4,39.4
30.3,4.1,2.7,14.1,72.8,5.0,36.2
26.7,5.1,4.1,11.6,63.1,5.5,36.9
27.7,4.3,2.9,16.6,73.5,4.8,32.8
25.2,5.4,3.0,19.7,62.0,7.8,40.4
34.1,4.6,1.8,15.6,60.2,5.9,38.7
26.2,4.5,3.4,17.1,69.8,5.0,35.2
30.8,4.2,1.7,10.7,59.2,4.2,44.3
27.7,4.5,2.3,14.2,60.3,6.9,40.6
30.5,5.3,4.4,11.2,69.6,3.8,36.6
31.5,5.5,1.8,16.1,66.1,6.3,33.8
33.3,4.6,1.3,19.4,62.4,7.0,37.1
27.1,4.7,1.3,16.6,63.2,6.2,39.7
25.1,5.1,4.8,10.8,51.2,6.3,49.1
26.4,5.3,3.0,13.5,60.0,6.2,40.6
34.0,4.9,2.6,15.5,65.8,5.8,39.0
33.7,4.6,4.2,14.0,68.6,5.2,36.2
31.0,4.6,4.3,18.3,88.8,3.1,20.7
31.0,5.0,2.3,18.1,79.0,4.1,26.6
31.7,4.0,3.8,16.1,79.6,3.7,27.5
26.8,4.9,4.1,13.7,70.6,4.6,32.6
34.1,4.5,3.6,12.6,62.4,6.4,44.2
29.2,5.2,1.6,11.1,63.4,3.5,37.7
28.8,4.1,4.5,13.5,70.3,4.8,38.0
30.2,4.9,3.2,14.1,77.3,3.5,28.3
25.5,4.7,2.1,16.8,64.4,6.9,35.7
26.7,5.0,2.7,16.6,69.0,5.4,37.6
32.4,4.1,1.2,10.7,50.0,5.9,50.0
25.8,4.9,1.5,14.0,53.7,7.5,48.7
31.0,4.8,4.1,11.8,76.0,4.7,31.6
27.5,4.8,1.0,11.6,56.5,6.0,45.5
28.9,4.9,2.7,18.3,84.4,2.7,21.3
27.9,5.0,3.1,10.4,64.4,3.9,40.4
28.6,5.2,1.2,14.2,58.5,6.3,43.2
32.2,4.4,4.9,11.7,62.1,4.0,41.7
28.0,5.2,1.9,18.8,64.1,7.3,34.4
30.7,4.7,2.2,15.6,74.8,4.7,31.0
29.8,4.1,2.2,12.3,67.4,3.8,34.8
82.0,0.1,3.0,,,4.0,30.0
74.0,9.0,2.5,,,6.0,35.0
